Old_Name,Modern_Name
bourg,rue de bourg
ouchy,avenue d'ouchy
du pre,rue centrale
palud,place de la palud
st laurent,rue saint-laurent
martheray,rue marterey
jean,???
st pierre,rue saint-pierre
mercerie,rue mercerie
barre,rue de la barre
grand st jean,rue grand-saint-jean
st francois,rue saint-francois
etraz,rue etraz
madelaine,rue madeleine
chaucrau,rue chaucrau
du pont,rue du pont
cour,avenue de cour
marche,rue pre-du-marche
cite devant,rue cite-devant
cheneau de bourg,rue cheneau-de-bourg
cite derriere,rue cite-derriere
chally,avenue de chailly
l halle,rue de l'ale???
maupas,rue du maupas
chene,???
st etienne,rue saint-etienne
menerier,???
rapes,route de la rape
la sallaz,avenue de la sallaz
challe de st laurent,rue saint-laurent???
petit st jean,rue du petit-saint-jean
grand chene,rue du grand-chene
chavannes,route de chavannes
grangette,chemin de la grangette
vennes,chemin de grand-vennes
hopital,gymnase de la cité???
place st francois,place saint-francois
montoye,avenue de montoie
montbenon,avenue de montbenon
petit chene,rue du petit-chene
jardin,rue des jardins
montee st laurent,rue saint-laurent???
pepinet,rue pepinet
chemin neuf,chemin neuf
berallaz,la berallaz
escaliers du marche,escaliers du marche
chauderon,place chauderon
bois gentil,chemin du bois-gentil
riponne,place de la riponne
valentin,rue du valentin
rasude,avenue de la rasude
montblesson,route de montblesson
montherond,route de montheron
caulard,chemin du capelard???
cite dessous,gymnase de la cité batiment mercerie???
caroline,rue caroline
devin,chemin du devin
mauborget,rue mauborget
college,chemin du college
place t laurent,place du 14-juin
brasserie,???
ais,???
la tour,rue de la tour
calvaire,chemin du calvaire
villars,chemin de villars
contigny,chemin de contigny
sebillon,rue de sebeillon
chabliere,avenue de la chabliere
croix rouge,chemin des croix-rouges
gottettaz,promenade de la gottetaz
grange veuve,route de grange-neuve
rosemont,avenue de rosemont
verdonnet,chemin de verdonnet
servant,avenue du servan
montrion,passage de montriond
martin,rue saint-martin
chemin de moulins,chemin des moulins
malley,chemin de malley
epinettes,chemin des epinettes
mornex,chemin de mornex
st roch,rue saint-roch
bauchardon,chemin de bochardon
georgette,avenue georgette
berne,route de berne
la grotte,rue de la grotte
vuillettaz,rue charles-vuillermet???
jorgne,???
beaulieu,avenue de beaulieu
des cheneaux,rue cheneau-de-bourg???
dessert,chemin de pierrefleur??? (arret de bus désert)
jou,chemin du point-du-jour???
chemin des laux,???
berraux,rue des terraux
chateau d oex,???
croix de rive,avenue de croix de rive
francs,rue du port-franc
duz,???
rolle,???
bugnon,rue du bugnon
veraz,???
